Date of Invoice,Match,Stand Name,Date of Match,Ticket Quantity,Ticket Price
12-May-24,DC vs LSG,West Stand Ground Floor,14/05/2024,8 Seats,₹30000.00
01-May-24,DC vs RR,Phase 1 | OCH 1st Floor,Not mentioned,4 Tickets,₹35604.80
01-May-24,DC vs RR,Booking Fee Invoice,Not mentioned,Not mentioned,₹1604.80
11-May-24,GT vs KKR,Block A,13-05-2024,18 Seats,₹22500.00
11-May-24,GT vs KKR,Convenience Fee Invoice,13-05-2024,Not mentioned,₹1062.00
23-May-24,Qualifier 2,C Upper Stand (Entry from Victoria Hostel Road) (Gate 4),Not mentioned,2 Tickets,₹6212.40
23-May-24,Qualifier 2,Booking Fee Invoice,Not mentioned,Not mentioned,₹212.40
09-May-24,RCB vs CSK,QATAR AIRWAYS E EXECUTIVE LOUNGE,18-May-2024,2 Tickets,₹19360.00
